X;Result
-6.2800000000;0.0031853104
-6.1800000000;0.1030023043
-6.0800000000;0.2017901344
-5.9800000000;0.2985616974
-5.8800000000;0.3923501945
-5.7800000000;0.4822184526
-5.6800000000;0.5672685396
-5.5800000000;0.6466506643
-5.4800000000;0.7195716678
-5.3800000000;0.7853029479
-5.2800000000;0.8431877844
-5.1800000000;0.8926477068
-5.0800000000;0.9331885940
-4.9800000000;0.9644053728
-4.8800000000;0.9859861344
-4.7800000000;0.9977152500
-4.6800000000;0.9994755256
-4.5800000000;0.9912493324
-4.4800000000;0.9731189588
-4.3800000000;0.9452654968
-4.2800000000;0.9079672510
-4.1800000000;0.8615968944
-4.0800000000;0.8066177450
-3.9800000000;0.7435791367
-3.8800000000;0.6731109659
-3.7800000000;0.5959172446
-3.6800000000;0.5127693201
-3.5800000000;0.4244979772
-3.4800000000;0.3319851929
-3.3800000000;0.2361553235
-3.2800000000;0.1379658689
-3.1800000000;0.0383978773
-3.0800000000;-0.0615537338
-2.9800000000;-0.1608903247
-2.8800000000;-0.2586193554
-2.7800000000;-0.3537643486
-2.6800000000;-0.4453746464
-2.5800000000;-0.5325348733
-2.4800000000;-0.6143742377
-2.3800000000;-0.6900749720
-2.2800000000;-0.7588807016
-2.1800000000;-0.8201039439
-2.0800000000;-0.8731329775
-1.9800000000;-0.9174379542
-1.8800000000;-0.9525762172
-1.7800000000;-0.9781966196
-1.6800000000;-0.9940432092
-1.5800000000;-0.9999576502
-1.4800000000;-0.9958808465
-1.3800000000;-0.9818535314
-1.2800000000;-0.9580158366
-1.1800000000;-0.9246060000
-1.0800000000;-0.8819578005
-0.9800000000;-0.8304973673
-0.8800000000;-0.7707388773
-0.7800000000;-0.7032794185
-0.6800000000;-0.6287930444
-0.5800000000;-0.5480239467
-0.4800000000;-0.4617791802
-0.3800000000;-0.3709204715
-0.2800000000;-0.2763556495
-0.1800000000;-0.1790295738
-0.0800000000;-0.0799146813
